name,short_prompt,long_prompt
Select a scene...,,
Swirling Vortex,A swirling vortex of vibrant colors and abstract shapes.,"A swirling vortex of vibrant, saturated colors and abstract shapes, reminiscent of a psychedelic dream.  Include fractal patterns, distorted faces, and melting landscapes.  The overall composition should feel fluid and dynamic, with a sense of movement and energy.  Render in a style inspired by Alex Grey and Mati Klarwein, with a focus on intricate detail and luminous colors.  Add a touch of bioluminescence and subtle geometric patterns.  Artstation trending, 8k resolution, intricate detail, highly detailed, psychedelic art, vibrant colors, fractal patterns, swirling vortex."
Gothic Griffin,"A majestic griffin perched atop a crumbling gothic tower, overlooking a misty valley at dawn.","A majestic griffin, with feathers of burnished gold and piercing emerald eyes, perched atop a crumbling gothic tower, its gargoyles worn by time and weather. The tower overlooks a misty valley at dawn, the first rays of sunlight breaking through the fog, illuminating the dew-covered landscape.  The scene is rendered in a hyperrealistic style, with intricate details in the griffin's plumage and the tower's stonework.  Focus on dramatic lighting and a sense of ancient power.  Artstation trending, 8k resolution, intricate detail, photorealistic, sharp focus."
Chrome Spaceship,"A sleek, chrome spaceship landing on a desolate, alien planet.","A sleek, chrome spaceship, with glowing blue engine nacelles and intricate paneling, landing on a desolate, alien planet with red sand and towering rock formations.  The sky is a hazy orange, with two moons visible.  A lone figure in a spacesuit walks down the ramp.  Render in a style reminiscent of Syd Mead, with a focus on clean lines and retro-futuristic design.  Include volumetric lighting and a sense of scale.  Artstation trending, 8k resolution, intricate detail, photorealistic, sharp focus, HDR."
Talking Woman,A woman with brown hair talk to another woman,"A woman with long brown hair and light skin smiles at another woman with long blonde hair. The woman with brown hair wears a black jacket and has a small, barely noticeable mole on her right cheek. The camera angle is a close-up, focused on the woman with brown hair's face. The lighting is warm and natural, likely from the setting sun, casting a soft glow on the scene. The scene appears to be real-life footage. "
Walking Woman,A woman walks away from a white jeep,"A woman walks away from a white Jeep parked on a city street at night, then ascends a staircase and knocks on a door. The woman, wearing a dark jacket and jeans, walks away from the Jeep parked on the left side of the street, her back to the camera; she walks at a steady pace, her arms swinging slightly by her sides; the street is dimly lit, with streetlights casting pools of light on the wet pavement; a man in a dark jacket and jeans walks past the Jeep in the opposite direction; the camera follows the woman from behind as she walks up a set of stairs towards a building with a green door; she reaches the top of the stairs and turns left, continuing to walk towards the building; she reaches the door and knocks on it with her right hand; the camera remains stationary, focused on the doorway; the scene is captured in real-life footage. "
Dressed Woman,"A woman with blond hair, wearing black dress","A woman with blonde hair styled up, wearing a black dress with sequins and pearl earrings, looks down with a sad expression on her face. The camera remains stationary, focused on the woman's face. The lighting is dim, casting soft shadows on her face. The scene appears to be from a movie or TV show. "
Valley Mountain,A snow-covered mountain,"The camera pans over a snow-covered mountain range, revealing a vast expanse of snow-capped peaks and valleys.The mountains are covered in a thick layer of snow, with some areas appearing almost white while others have a slightly darker, almost grayish hue. The peaks are jagged and irregular, with some rising sharply into the sky while others are more rounded. The valleys are deep and narrow, with steep slopes that are also covered in snow. The trees in the foreground are mostly bare, with only a few leaves remaining on their branches. The sky is overcast, with thick clouds obscuring the sun. The overall impression is one of peace and tranquility, with the snow-covered mountains standing as a testament to the power and beauty of nature. "
Blue Woman,a woman wearing a blue jacket,"A woman with light skin, wearing a blue jacket and a black hat with a veil, looks down and to her right, then back up as she speaks; she has brown hair styled in an updo, light brown eyebrows, and is wearing a white collared shirt under her jacket; the camera remains stationary on her face as she speaks; the background is out of focus, but shows trees and people in period clothing; the scene is captured in real-life footage. "
VintagePhone,A man talks to a vintage phone,"A man in a dimly lit room talks on a vintage telephone, hangs up, and looks down with a sad expression. He holds the black rotary phone to his right ear with his right hand, his left hand holding a rocks glass with amber liquid. He wears a brown suit jacket over a white shirt, and a gold ring on his left ring finger. His short hair is neatly combed, and he has light skin with visible wrinkles around his eyes. The camera remains stationary, focused on his face and upper body. The room is dark, lit only by a warm light source off-screen to the left, casting shadows on the wall behind him. The scene appears to be from a movie. "
Prison Guard,A prison guard sittinng at a table with a woman,"A prison guard unlocks and opens a cell door to reveal a young man sitting at a table with a woman. The guard, wearing a dark blue uniform with a badge on his left chest, unlocks the cell door with a key held in his right hand and pulls it open; he has short brown hair, light skin, and a neutral expression. The young man, wearing a black and white striped shirt, sits at a table covered with a white tablecloth, facing the woman; he has short brown hair, light skin, and a neutral expression. The woman, wearing a dark blue shirt, sits opposite the young man, her face turned towards him; she has short blonde hair and light skin. The camera remains stationary, capturing the scene from a medium distance, positioned slightly to the right of the guard. The room is dimly lit, with a single light fixture illuminating the table and the two figures. The walls are made of large, grey concrete blocks, and a metal door is visible in the background. The scene is captured in real-life footage. "
Bloody Face,A woman with blood on her face,"A woman with blood on her face and a white tank top looks down and to her right, then back up as she speaks. She has dark hair pulled back, light skin, and her face and chest are covered in blood. The camera angle is a close-up, focused on the woman's face and upper torso. The lighting is dim and blue-toned, creating a somber and intense atmosphere. The scene appears to be from a movie or TV show. "
Grey Hair,A man with graying hair,"A man with graying hair, a beard, and a gray shirt looks down and to his right, then turns his head to the left. The camera angle is a close-up, focused on the man's face. The lighting is dim, with a greenish tint. The scene appears to be real-life footage. Step "
